Name,Profile_URL,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
Brad,http://ufcstats.com/fighter-details/13c4313ed0f744f3,Kohler,,"5' 9""",220 lbs.,--,Orthodox,12,15,0
Charlie,http://ufcstats.com/fighter-details/5717efc6f271cd52,Kohler,,"5' 9""",155 lbs.,--,Orthodox,8,4,1
Tsuyoshi,http://ufcstats.com/fighter-details/b76ed59283d3559c,Kohsaka,TK,"5' 11""",225 lbs.,--,Orthodox,27,19,2
Kaloyan,http://ufcstats.com/fighter-details/33de378ce1734638,Kolev,,"6' 2""",205 lbs.,"73.0""",Orthodox,10,1,0
John,http://ufcstats.com/fighter-details/5f6038bcdb95e3e4,Kolosci,,"5' 11""",185 lbs.,--,Orthodox,15,9,0
Yuki,http://ufcstats.com/fighter-details/1fe7adb23b3eedfb,Kondo,,"5' 11""",183 lbs.,--,Southpaw,60,33,9
Syuri,http://ufcstats.com/fighter-details/a851c35f58199231,Kondo,,"5' 4""",115 lbs.,"66.0""",Orthodox,6,3,0
Cheick,http://ufcstats.com/fighter-details/1eacf73d6a0055dc,Kongo,,"6' 4""",240 lbs.,"82.0""",Orthodox,27,10,2
Andrei,http://ufcstats.com/fighter-details/dd39f1ca787a3d9d,Kopylov,,"6' 2""",265 lbs.,--,Orthodox,6,11,0
Roman,http://ufcstats.com/fighter-details/9d83f6da776ff7d6,Kopylov,,"6' 0""",185 lbs.,"75.0""",Southpaw,14,3,0
Bruno,http://ufcstats.com/fighter-details/6c011be66326ad97,Korea,,"5' 6""",135 lbs.,"65.0""",,7,3,0
Chungreng,http://ufcstats.com/fighter-details/000774e57404d8c7,Koren,The Indian Rhino,--,135 lbs.,--,,7,1,0
Andrey,http://ufcstats.com/fighter-details/aee885b8ca29ab4f,Koreshkov,Spartan,"6' 0""",170 lbs.,--,,19,2,0
Josh,http://ufcstats.com/fighter-details/dd37fd509af89f15,Koscheck,,"5' 10""",170 lbs.,"73.0""",Orthodox,17,11,0
Steven,http://ufcstats.com/fighter-details/84512339473dd300,Koslow,Obi Won Shinobi The Pillow,"5' 7""",125 lbs.,"69.0""",Switch,6,1,0
Naoyuki,http://ufcstats.com/fighter-details/bc8f6b42767e28df,Kotani,,"5' 8""",155 lbs.,"66.0""",Southpaw,34,14,7
Ilya,http://ufcstats.com/fighter-details/a68d57ae177a5815,Kotau,,--,170 lbs.,--,,1,2,0
Iouri,http://ufcstats.com/fighter-details/c6becb722706c7d8,Kotchkine,,"6' 2""",235 lbs.,--,Orthodox,7,4,1
Matt,http://ufcstats.com/fighter-details/8fbcd82bf7f352bf,Kovacs,300,"6' 0""",244 lbs.,--,Orthodox,12,16,0
Marcus,http://ufcstats.com/fighter-details/ad0e42800a0d8977,Kowal,,--,135 lbs.,--,,3,1,1
Karolina,http://ufcstats.com/fighter-details/d7c3816669784109,Kowalkiewicz,,"5' 3""",115 lbs.,"64.0""",Orthodox,16,9,0
Steve,http://ufcstats.com/fighter-details/fc36e2352dccf2a4,Kozola,,--,155 lbs.,--,,8,0,0
Derrick,http://ufcstats.com/fighter-details/714e1e0681ddb703,Krantz,D-Rock,"5' 10""",170 lbs.,"72.0""",Orthodox,22,12,0
James,http://ufcstats.com/fighter-details/8f6a18831a120817,Krause,The,"6' 2""",170 lbs.,"73.0""",Orthodox,28,9,0
Pascal,http://ufcstats.com/fighter-details/a01e84abefd85ec0,Krauss,Panzer,"6' 1""",170 lbs.,--,Orthodox,11,2,0
Rene,http://ufcstats.com/fighter-details/db05271715bb4874,Kronvold,,"5' 8""",170 lbs.,--,Orthodox,5,1,0
Kaynan,http://ufcstats.com/fighter-details/ca36633b80be4a78,Kruschewsky,Bahia,"6' 0""",155 lbs.,"73.0""",Orthodox,15,3,0
Jorgen,http://ufcstats.com/fighter-details/6071d786f6187810,Kruth,The Last Viking,"6' 2""",205 lbs.,--,,5,0,0
Nikita,http://ufcstats.com/fighter-details/1091d4d957141094,Krylov,The Miner,"6' 3""",205 lbs.,"77.0""",Orthodox,30,10,0
Mariusz,http://ufcstats.com/fighter-details/ab16537dd1e5e81d,Ksiazkiewicz,The Iron Pol,"6' 3""",185 lbs.,"75.0""",Southpaw,8,1,0
Junya,http://ufcstats.com/fighter-details/487c170da059857d,Kudo,,--,135 lbs.,--,Orthodox,10,7,2
John,http://ufcstats.com/fighter-details/a272656ad662ac53,Kuhner,,--,170 lbs.,--,,1,2,0
Michael,http://ufcstats.com/fighter-details/b7f38813485745da,Kuiper,,"6' 0""",185 lbs.,"73.0""",Orthodox,15,5,0
Anton,http://ufcstats.com/fighter-details/706f8e2b34e8e18b,Kuivanen,,"5' 8""",155 lbs.,"72.0""",Orthodox,24,10,0
Maiju,http://ufcstats.com/fighter-details/4e77d070239699e2,Kujala,,--,135 lbs.,--,,6,3,0
Sumit,http://ufcstats.com/fighter-details/a0a625221e0dd339,Kumar,The Indian Kid,"5' 5""",125 lbs.,"66.0""",Orthodox,8,1,0
Aleksei,http://ufcstats.com/fighter-details/e2ccd9a9ace60de7,Kunchenko,,"5' 8""",170 lbs.,"70.0""",Orthodox,20,2,0
Rizvan,http://ufcstats.com/fighter-details/739fd4fbb5d862f4,Kuniev,,"6' 4""",240 lbs.,"76.0""",Orthodox,12,2,1
Keigo,http://ufcstats.com/fighter-details/782a2a17d3e38fdf,Kunihara,,"6' 0""",235 lbs.,--,Orthodox,3,2,0
Kiichi,http://ufcstats.com/fighter-details/71df36d6d8cf0d74,Kunimoto,Strasser,"5' 10""",170 lbs.,"71.0""",Orthodox,18,7,2
Leo,http://ufcstats.com/fighter-details/6905d45bd71b50a9,Kuntz,The Lion,"5' 10""",155 lbs.,--,Orthodox,18,4,1
Korey,http://ufcstats.com/fighter-details/780a2897055e3ee3,Kuppe,,"6' 5""",170 lbs.,"77.0""",Switch,8,4,0
Ramazan,http://ufcstats.com/fighter-details/b6a73e6f11a8835c,Kuramagomedov,,"6' 1""",170 lbs.,"73.0""",Orthodox,8,0,0
Tsuyoshi,http://ufcstats.com/fighter-details/032b65d5fff611b2,Kurihara,,"5' 10""",185 lbs.,--,Orthodox,10,8,2
Eldari,http://ufcstats.com/fighter-details/4c78fc005a53831d,Kurtanidze,,"5' 6""",235 lbs.,--,Orthodox,0,1,0
Kyle,http://ufcstats.com/fighter-details/b490def93478ae29,Kurtz,,--,170 lbs.,--,,7,5,0
Guram,http://ufcstats.com/fighter-details/7772b283d288dbe2,Kutateladze,Georgian Viking,"5' 11""",155 lbs.,"72.0""",Orthodox,13,5,0
Vadym,http://ufcstats.com/fighter-details/aeb2bcd4371f40d5,Kutsyi,,"6' 0""",170 lbs.,"71.0""",Orthodox,17,2,0
Lina,http://ufcstats.com/fighter-details/843dd76c50cae0f6,Kvokov,,"5' 9""",135 lbs.,--,Orthodox,0,3,0
Kaleo,http://ufcstats.com/fighter-details/2545c7f47a65bca3,Kwan,Leo Boy,"5' 7""",155 lbs.,--,,11,16,0
Jarrod,http://ufcstats.com/fighter-details/849d15ed7e3a0e97,Kwitty,,"5' 8""",185 lbs.,--,,2,2,0
Mike,http://ufcstats.com/fighter-details/56b8b24f65f9f057,Kyle,MAK,"6' 4""",205 lbs.,"77.0""",Orthodox,22,14,1
Lisa,http://ufcstats.com/fighter-details/edbc609a3b0d2aba,Kyriacou,The Savage,"5' 5""",125 lbs.,"64.0""",Orthodox,7,2,0
Achmed,http://ufcstats.com/fighter-details/b3fb8d2293e17a59,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4,0
Josh,http://ufcstats.com/fighter-details/5108b169b5fe1f86,LaBerge,,"5' 10""",145 lbs.,--,,11,6,0
Jeremiah,http://ufcstats.com/fighter-details/4fe1d105af549845,Labiano,The Kid,"5' 10""",135 lbs.,--,,11,5,0
Daniel,http://ufcstats.com/fighter-details/31bb0772f21cabd8,Lacerda,Miojo,"5' 6""",125 lbs.,"70.0""",Switch,11,6,0
Luan,http://ufcstats.com/fighter-details/6fc506e1099afe20,Lacerda,,"5' 7""",135 lbs.,"71.0""",Orthodox,12,3,0
Kemran,http://ufcstats.com/fighter-details/eb84192d1a97f69e,Lachinov,,--,170 lbs.,--,,3,2,0
Aspen,http://ufcstats.com/fighter-details/d4691518d012b9e7,Ladd,,"5' 6""",135 lbs.,"66.0""",Orthodox,9,3,0
Ryan,http://ufcstats.com/fighter-details/4c7781da8c6cae93,LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,14,3,0
Corinne,http://ufcstats.com/fighter-details/fbe9f4efc2153be2,Laframboise,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,5,0
Ben,http://ufcstats.com/fighter-details/b40e65d71a8d4ce5,Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5,0
Noad,http://ufcstats.com/fighter-details/9f755fb04cc21499,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,0
Tina,http://ufcstats.com/fighter-details/e5ca2bc2451a5956,Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,5,1,0
Yohan,http://ufcstats.com/fighter-details/f998f5c102250d6e,Lainesse,White Lion,"6' 1""",170 lbs.,"76.0""",Orthodox,9,3,0
Tim,http://ufcstats.com/fighter-details/c7e9d15cfce52f1d,Lajcik,The Bohemian,"6' 1""",225 lbs.,--,Orthodox,7,6,1
Todd,http://ufcstats.com/fighter-details/7d06092326c52528,Lally,,"5' 7""",145 lbs.,--,Orthodox,2,1,0
Sean,http://ufcstats.com/fighter-details/e62ce041bb7aeb1f,Lally,The Unpredictable One,"6' 0""",170 lbs.,--,Orthodox,7,3,0
Ricardo,http://ufcstats.com/fighter-details/3974fa35c917af1d,Lamas,The Bully,"5' 8""",145 lbs.,"71.0""",Orthodox,20,8,0
Jason,http://ufcstats.com/fighter-details/5be86bb2f78fef2f,Lambert,The Punisher,"6' 3""",185 lbs.,"75.0""",Orthodox,26,13,0
Jose,http://ufcstats.com/fighter-details/7e062824c175f975,Landi-Jons,Pele,"5' 11""",170 lbs.,--,Orthodox,29,16,0
Nate,http://ufcstats.com/fighter-details/583ee11abddfc581,Landwehr,The Train,"5' 9""",145 lbs.,"72.0""",Orthodox,18,6,0
Austen,http://ufcstats.com/fighter-details/be9bdec19b7e9ffe,Lane,,"6' 6""",245 lbs.,"80.0""",Orthodox,13,6,0
Aaron,http://ufcstats.com/fighter-details/d73e856f150744b2,Lanfranco,,--,155 lbs.,--,,5,1,0
Jeremy,http://ufcstats.com/fighter-details/09422812370fbdfe,Lang,,"5' 11""",205 lbs.,--,Southpaw,21,2,0
Lionel,http://ufcstats.com/fighter-details/b8980dd7e8fc5976,Lanham,,--,205 lbs.,--,,5,1,0
Lina,http://ufcstats.com/fighter-details/2eeaefbfc7f9fcff,Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65.0""",Orthodox,10,8,0
Taylor,http://ufcstats.com/fighter-details/8b1ed83b02303075,Lapilus,Double Impact,"5' 6""",135 lbs.,"73.0""",Southpaw,21,4,0
Chad,http://ufcstats.com/fighter-details/c03a5022f8439f2a,Laprise,The Disciple,"5' 10""",170 lbs.,"71.0""",Orthodox,13,4,0
Anthony,http://ufcstats.com/fighter-details/f3a853544e4413c4,Lapsley,The Recipe,"5' 9""",170 lbs.,--,Southpaw,23,7,0
TJ,http://ufcstats.com/fighter-details/cd2e5a390821fb48,Laramie,,"5' 6""",145 lbs.,"66.0""",Orthodox,12,5,0
Icho,http://ufcstats.com/fighter-details/49efbdc6c9f650c4,Larenas,,"6' 3""",235 lbs.,--,Orthodox,6,5,0
Lorenz,http://ufcstats.com/fighter-details/9450848a71d53776,Larkin,The Monsoon,"5' 11""",170 lbs.,"72.0""",Orthodox,18,6,0
Jeremy,http://ufcstats.com/fighter-details/c3bd649a9194e50c,Larsen,,"5' 10""",145 lbs.,"70.0""",Orthodox,8,5,0
Brock,http://ufcstats.com/fighter-details/5eedbf1e9601be35,Larson,,"5' 11""",170 lbs.,"71.0""",Southpaw,42,10,0
Ryan,http://ufcstats.com/fighter-details/7107e53ebd7435fb,Larson,,--,170 lbs.,--,,6,2,0
Bobby,http://ufcstats.com/fighter-details/b0826525fa17231d,Lashley,,"6' 3""",255 lbs.,"78.0""",Orthodox,15,2,0
Ilir,http://ufcstats.com/fighter-details/e9a3aeb207578eea,Latifi,The Sledgehammer,"5' 10""",230 lbs.,"73.0""",Orthodox,17,9,0
Sione,http://ufcstats.com/fighter-details/5898357a45a73674,Latu,,"6' 0""",215 lbs.,--,,1,0,0
Phillip,http://ufcstats.com/fighter-details/09224b76d27007ee,Latu,The Doctor,"6' 3""",205 lbs.,"76.0""",Orthodox,6,2,0
Jenel,http://ufcstats.com/fighter-details/ec664422b22d9787,Lausa,,"5' 5""",125 lbs.,"68.0""",Orthodox,7,5,0
Joe,http://ufcstats.com/fighter-details/3bad7ef643840f67,Lauzon,,"5' 10""",155 lbs.,"71.0""",Orthodox,28,16,0
Dan,http://ufcstats.com/fighter-details/4c8d6fde2dde07c4,Lauzon,The Upgrade,"5' 10""",155 lbs.,--,Orthodox,17,6,0
Sandra,http://ufcstats.com/fighter-details/aa6da8cb3a26da04,Lavado,Peruvian Zombie,"5' 7""",115 lbs.,"66.0""",Orthodox,10,3,0
Chatt,http://ufcstats.com/fighter-details/5449dcccd972ff83,Lavender,,"5' 8""",170 lbs.,--,,9,7,0
Muhammed,http://ufcstats.com/fighter-details/a571770c4016736f,Lawal,King Mo,"6' 0""",205 lbs.,"78.0""",Southpaw,21,6,0
Robbie,http://ufcstats.com/fighter-details/f2925e6db404bf1d,Lawler,Ruthless,"5' 11""",170 lbs.,"74.0""",Southpaw,30,16,0
Tom,http://ufcstats.com/fighter-details/4d44f37107f01b9b,Lawlor,Filthy,"6' 0""",205 lbs.,"74.0""",Southpaw,10,6,0
Justin,http://ufcstats.com/fighter-details/879f6cae48d25baa,Lawrence,The American Kidd,"5' 8""",145 lbs.,"67.0""",Orthodox,10,4,0
Lance,http://ufcstats.com/fighter-details/ce039df1994b18f0,Lawrence,,"6' 1""",145 lbs.,"74.0""",Orthodox,4,1,0
Ronnie,http://ufcstats.com/fighter-details/e7e01e266a9d4342,Lawrence,The Heat,"5' 8""",135 lbs.,"68.0""",Switch,8,2,0
Eric,http://ufcstats.com/fighter-details/38e5d9dcb0fddc42,Lawson,,"6' 0""",185 lbs.,--,Orthodox,9,5,0
Jimmy,http://ufcstats.com/fighter-details/e43eefb10d440cb0,Lawson,Greedy,"6' 0""",265 lbs.,"77.0""",Orthodox,4,2,0
Valmir,http://ufcstats.com/fighter-details/777dea713da2441d,Lazaro,Bidu,"6' 0""",155 lbs.,"73.0""",Orthodox,15,5,0
Zviad,http://ufcstats.com/fighter-details/41498c2d1a87b154,Lazishvili,,"5' 6""",135 lbs.,"69.0""",Orthodox,13,1,0
Mounir,http://ufcstats.com/fighter-details/49ee5024966efc0d,Lazzez,The Sniper,"6' 1""",170 lbs.,"76.0""",Orthodox,11,3,0
Cung,http://ufcstats.com/fighter-details/d4f364dd076bb0e2,Le,,"5' 9""",185 lbs.,"70.0""",Southpaw,9,3,0
Thanh,http://ufcstats.com/fighter-details/882b3f5a0774d575,Le,,"5' 9""",145 lbs.,"74.0""",Orthodox,6,1,0
Quang,http://ufcstats.com/fighter-details/32feae6d9a1e5047,Le,Bang,"5' 6""",135 lbs.,"70.0""",Orthodox,9,2,0
Carlos,http://ufcstats.com/fighter-details/28d421729451c8ca,Leal,The Lion,"5' 11""",170 lbs.,"74.0""",Orthodox,22,6,0
Jordan,http://ufcstats.com/fighter-details/ac026518a9b4dc0f,Leavitt,The Monkey King,"5' 9""",155 lbs.,"71.0""",Southpaw,11,3,0
Jerome,http://ufcstats.com/fighter-details/2d0b10789feafddb,LeBanner,,"6' 3""",265 lbs.,--,Southpaw,3,2,0
Chris,http://ufcstats.com/fighter-details/d43a048a880efdff,Leben,The Crippler,"5' 11""",185 lbs.,"73.0""",Southpaw,22,11,0
Mickael,http://ufcstats.com/fighter-details/c575ab451e3c5b1d,Lebout,Ragnar,"5' 11""",155 lbs.,"73.0""",Orthodox,16,7,1
Stephen,http://ufcstats.com/fighter-details/56ec58954158966a,Ledbetter,,"5' 9""",145 lbs.,--,Orthodox,8,3,0
Justin,http://ufcstats.com/fighter-details/ba1e6cb3d43f7430,Ledet,El Blanco,"6' 4""",205 lbs.,"80.0""",Orthodox,9,4,0
James,http://ufcstats.com/fighter-details/863d06a7ef8bc98c,Lee,,"5' 11""",205 lbs.,--,Southpaw,15,3,0
David,http://ufcstats.com/fighter-details/8caca5857ce0e30b,Lee,,"5' 10""",155 lbs.,--,Orthodox,12,10,0
Jackie,http://ufcstats.com/fighter-details/4985113c0928aa62,Lee,,--,--,--,,0,1,0
Eun Soo,http://ufcstats.com/fighter-details/39c568f8c579913e,Lee,,"6' 1""",215 lbs.,--,Orthodox,17,4,0
Tae Hyun,http://ufcstats.com/fighter-details/de99da2c0d18d34a,Lee,,"6' 6""",295 lbs.,--,Orthodox,1,2,0
Tommy,http://ufcstats.com/fighter-details/806975e1b4f47b27,Lee,,"5' 7""",145 lbs.,--,Orthodox,25,6,0
Matt,http://ufcstats.com/fighter-details/d9e3743bae8d703d,Lee,,"5' 11""",155 lbs.,--,Orthodox,14,10,1
Imani,http://ufcstats.com/fighter-details/0802be3516ef8f66,Lee,,--,--,--,Orthodox,2,4,0
Vaughan,http://ufcstats.com/fighter-details/8bb6f4479685bbcc,Lee,,"5' 6""",125 lbs.,"66.0""",Orthodox,14,13,1
Kevin,http://ufcstats.com/fighter-details/ee9ebceabfd16fa7,Lee,The Motown Phenom,"5' 9""",170 lbs.,"77.0""",Orthodox,18,8,0
Rocky,http://ufcstats.com/fighter-details/0d1c163b206e8c5f,Lee,,"5' 9""",145 lbs.,--,Orthodox,3,2,0
Andrea,http://ufcstats.com/fighter-details/05fa626cb33d15b8,Lee,KGB,"5' 6""",125 lbs.,"69.0""",Orthodox,13,11,0
JeongYeong,http://ufcstats.com/fighter-details/d008d785f6347dc2,Lee,Korean Tiger,"5' 10""",145 lbs.,"73.0""",Orthodox,11,2,0
JungHyun,http://ufcstats.com/fighter-details/b6033505c245e28b,Lee,The Phenom,"5' 5""",125 lbs.,"65.0""",Orthodox,8,1,0
ChangHo,http://ufcstats.com/fighter-details/117a06469813e4ef,Lee,,"5' 8""",135 lbs.,"69.0""",Orthodox,11,1,0
Ricky,http://ufcstats.com/fighter-details/5817df778cc27274,Legere Jr.,IE Bad Boy,"5' 8""",170 lbs.,--,,14,4,0
Sherron,http://ufcstats.com/fighter-details/4f670b7972fa0a2e,Leggett,Rob Roy,"5' 8""",155 lbs.,--,Southpaw,21,6,0
Cheyden,http://ufcstats.com/fighter-details/98cbbc06074c68a4,Leialoha,Steadfast,"5' 8""",135 lbs.,"73.0""",Orthodox,6,0,0
Claudia,http://ufcstats.com/fighter-details/90550a08f0b02b6f,Leite,,"5' 3""",135 lbs.,"64.0""",Orthodox,8,3,0
Thales,http://ufcstats.com/fighter-details/cfb65863d5099327,Leites,,"6' 1""",185 lbs.,"78.0""",Orthodox,28,9,0
Stefan,http://ufcstats.com/fighter-details/d56bb6dff2ae77eb,Leko,Blitz,"6' 2""",215 lbs.,--,Orthodox,0,3,0
Gabe,http://ufcstats.com/fighter-details/fd4578cac86d75ca,Lemley,,"5' 8""",155 lbs.,--,Orthodox,13,9,0
Amanda,http://ufcstats.com/fighter-details/3df5493bb279226f,Lemos,,"5' 4""",115 lbs.,"65.0""",Southpaw,15,4,1
Giacomo,http://ufcstats.com/fighter-details/f37822d5b3e47517,Lemos,,"6' 3""",247 lbs.,"75.0""",Orthodox,6,0,0
Christophe,http://ufcstats.com/fighter-details/7269329bd87eb479,Leninger,,"6' 0""",200 lbs.,--,Southpaw,3,4,0
Jesse,http://ufcstats.com/fighter-details/3ae10ac4df3df05c,Lennox,The Ox,"5' 9""",170 lbs.,"72.0""",Orthodox,14,4,0
Jean Francois,http://ufcstats.com/fighter-details/e60201cfab7d656d,Lenogue,,"6' 0""",185 lbs.,--,Orthodox,16,17,3
Nik,http://ufcstats.com/fighter-details/6fb1ba67bef41b37,Lentz,The Carny,"5' 8""",145 lbs.,"68.0""",Orthodox,30,12,2
Alberta Cerra,http://ufcstats.com/fighter-details/6e02c318762f52f1,Leon,,"5' 8""",238 lbs.,--,,0,1,0
Victoria,http://ufcstats.com/fighter-details/9dedfdd91070ddd8,Leonardo,Fury,"5' 5""",125 lbs.,"64.0""",Orthodox,9,7,0
Anthony,http://ufcstats.com/fighter-details/86b9b51a81e9c339,Leone,,"5' 6""",135 lbs.,--,Orthodox,15,8,0
Chad,http://ufcstats.com/fighter-details/657d0ed181f04215,Leonhardt,The Boss,"6' 0""",170 lbs.,--,,9,4,0
Kimo,http://ufcstats.com/fighter-details/08ae5cd9aef7ddd3,Leopoldo,,"6' 3""",235 lbs.,--,Orthodox,10,7,1
Michael,http://ufcstats.com/fighter-details/f1fd8ec1023c89b3,Lerma,,--,--,--,,0,1,0
Lukasz,http://ufcstats.com/fighter-details/5a8e30ed38a5bc6f,Les,,--,170 lbs.,--,,8,3,0
Brock,http://ufcstats.com/fighter-details/513c6f1715e547a8,Lesnar,,"6' 3""",265 lbs.,"81.0""",Orthodox,5,3,0
Frank,http://ufcstats.com/fighter-details/edd8d5d8089a35f8,Lester,,"5' 11""",170 lbs.,--,Orthodox,11,6,0
Valerie,http://ufcstats.com/fighter-details/46a2f24feb258ae0,Letourneau,Trouble,"5' 7""",115 lbs.,"68.0""",Orthodox,8,6,0
Leah,http://ufcstats.com/fighter-details/8cb78f3a6c2a08f7,Letson,Nidas,"5' 7""",145 lbs.,"71.0""",Southpaw,5,3,0
Justin,http://ufcstats.com/fighter-details/8c3f3c43c8ceb778,Levens,The Executioner,"5' 11""",185 lbs.,--,Orthodox,10,7,0
Marcus,http://ufcstats.com/fighter-details/182f2b78582de3d8,LeVesseur,The Prospect,"5' 9""",155 lbs.,"70.0""",Southpaw,22,7,0
David,http://ufcstats.com/fighter-details/49590e0508b2c19f,Levicki,,"6' 5""",275 lbs.,--,,1,3,0
Kyle,http://ufcstats.com/fighter-details/81ddc98fceb30086,Levinton,,--,--,--,,0,3,0
Natan,http://ufcstats.com/fighter-details/a29db9cd4f9ccea5,Levy,Lethal,"5' 9""",155 lbs.,"71.0""",Southpaw,8,2,0
John,http://ufcstats.com/fighter-details/4a01dc8376736ef5,Lewis,,"6' 0""",155 lbs.,--,Southpaw,3,4,3
Derrick,http://ufcstats.com/fighter-details/d3df1add9d9a7efb,Lewis,The Black Beast,"6' 3""",260 lbs.,"79.0""",Orthodox,28,12,0
Bevon,http://ufcstats.com/fighter-details/899923ff6ab13917,Lewis,,"6' 3""",185 lbs.,"79.0""",Orthodox,7,3,0
Brandon,http://ufcstats.com/fighter-details/6623cb1c27025634,Lewis,,"5' 4""",135 lbs.,"70.0""",Orthodox,6,2,0
Malik,http://ufcstats.com/fighter-details/f60dbe6e05489c4f,Lewis,Hard Knock,"6' 0""",155 lbs.,"75.0""",Orthodox,6,2,0
Chi,http://ufcstats.com/fighter-details/a307a10414d0ad00,Lewis-Parry,Chopper,"6' 9""",243 lbs.,--,,7,0,1
Li,http://ufcstats.com/fighter-details/e64b96c07d7ce999,Jingliang,The Leech,"6' 0""",170 lbs.,"71.0""",Orthodox,19,9,0
Li,http://ufcstats.com/fighter-details/4c7afd56ef1947ac,Yunfeng,,"5' 8""",135 lbs.,"68.0""",Orthodox,9,5,0
Liang,http://ufcstats.com/fighter-details/ec0dcceace7d25a3,Na,The Dragon Girl,"5' 5""",125 lbs.,"67.0""",Orthodox,19,8,0
Jess,http://ufcstats.com/fighter-details/a8aba6fd8a463043,Liaudin,The Joker,"5' 9""",170 lbs.,"72.0""",Orthodox,20,11,0
Chuck,http://ufcstats.com/fighter-details/a390eb8a9b2df298,Liddell,The Iceman,"6' 2""",205 lbs.,"76.0""",Orthodox,21,8,0
Rodrigo,http://ufcstats.com/fighter-details/11b5a809c3120e27,Lidio,Dynamis,"5' 11""",155 lbs.,"73.0""",Orthodox,12,3,0
Sam,http://ufcstats.com/fighter-details/421ccfc6ddb17958,Liera,,--,--,--,,12,10,0
Zach,http://ufcstats.com/fighter-details/5d7c18191b8aa432,Light,,"5' 8""",170 lbs.,--,Orthodox,9,11,0
Scott,http://ufcstats.com/fighter-details/998c8890a8dde1eb,Lighty,,"6' 2""",205 lbs.,--,,6,2,0
Chris,http://ufcstats.com/fighter-details/0e31bfd26cc8c503,Liguori,,"5' 9""",185 lbs.,--,Orthodox,15,10,0
Donnie,http://ufcstats.com/fighter-details/a1bf037613180253,Liles,,"5' 9""",170 lbs.,--,Orthodox,17,7,0
Jae Suk,http://ufcstats.com/fighter-details/bbb15f301e4a490a,Lim,,"5' 9""",170 lbs.,--,Orthodox,17,6,0
Hyun Gyu,http://ufcstats.com/fighter-details/203c957eac95dd87,Lim,The Ace,"6' 3""",170 lbs.,"77.0""",Orthodox,13,7,1
Juliana,http://ufcstats.com/fighter-details/75a6a390fd5dca46,Lima,Ju Thai,"5' 5""",115 lbs.,"65.0""",Orthodox,9,5,0
Dhiego,http://ufcstats.com/fighter-details/e9213f53ddeca978,Lima,,"6' 2""",170 lbs.,"75.0""",Orthodox,17,9,0
Douglas,http://ufcstats.com/fighter-details/264111bf62662fbf,Lima,The Phenom,"6' 1""",170 lbs.,--,,29,6,0
Mabelly,http://ufcstats.com/fighter-details/6135fd9665fbb74e,Lima,,"5' 2""",135 lbs.,--,Orthodox,7,1,0
Andre,http://ufcstats.com/fighter-details/b1f21ce050035d58,Lima,Mascote,"5' 7""",125 lbs.,"67.0""",Orthodox,11,0,0
Felipe,http://ufcstats.com/fighter-details/9256f591b30c073e,Lima,Jungle Boy,"5' 6""",145 lbs.,"68.0""",Orthodox,14,1,0
Miguel,http://ufcstats.com/fighter-details/18c49685296c60e6,Linares,,--,--,--,,2,4,0
Emiliano,http://ufcstats.com/fighter-details/a4ef92274a45143d,Linares,Golden Bull,"5' 8""",145 lbs.,"72.0""",Orthodox,8,2,0
Matt,http://ufcstats.com/fighter-details/0e041d43a47d2e4b,Lindland,The Law,"6' 0""",185 lbs.,"74.0""",Southpaw,22,9,0
Jake,http://ufcstats.com/fighter-details/33e00249ef08d3a4,Lindsey,The Librarian,"5' 11""",155 lbs.,--,Switch,12,7,0
John,http://ufcstats.com/fighter-details/c268b2cfebccf652,Lineker,Hands of Stone,"5' 3""",135 lbs.,"67.0""",Orthodox,31,9,0
Austin,http://ufcstats.com/fighter-details/305d73ede05e31ad,Lingo,Lights Out,"5' 10""",145 lbs.,"70.0""",Orthodox,9,3,0
Lucio,http://ufcstats.com/fighter-details/a780d16cf7eed44d,Linhares,,"6' 2""",185 lbs.,--,Orthodox,19,8,0
Philipe,http://ufcstats.com/fighter-details/53c943c873cffe90,Lins,Monstro,"6' 2""",205 lbs.,"78.0""",Orthodox,18,5,0
Tainara,http://ufcstats.com/fighter-details/2c5f5749569eef66,Lisboa,Thai Panther,"5' 7""",135 lbs.,"67.0""",Orthodox,7,2,0
Dean,http://ufcstats.com/fighter-details/68c6cd5287b473a7,Lister,The Boogeyman,"6' 1""",185 lbs.,"75.0""",Orthodox,13,7,0
Wesley,http://ufcstats.com/fighter-details/008c6e1a25751575,Little,,"6' 4""",205 lbs.,--,,4,8,0
James,http://ufcstats.com/fighter-details/93b2b7caa457cbea,Llontop,Goku,"6' 0""",155 lbs.,"73.0""",Orthodox,14,5,0
Abner,http://ufcstats.com/fighter-details/6448e57a9533b7e4,Lloveras,Skullman,"5' 11""",155 lbs.,--,,20,9,1
Brian,http://ufcstats.com/fighter-details/7abce81b72fbbd9b,Lo-A-Njoe,,"5' 7""",155 lbs.,--,Orthodox,6,10,3
