Name,Weight,Wins,Losses,Draws,Birth Date,Country,Weight Class,Age,Last Fight
Amilcar Alves,170 lbs.,15,12,0,1979-12-13,Brazil,Middleweight,45,25/06/2022
Warlley Alves,185 lbs.,15,8,0,1991-01-04,Brazil,Welterweight,34,18/05/2024
Rafael Alves,155 lbs.,20,12,0,1990-10-11,Brazil,Lightweight,34,19/12/2024
Sam Alvey,185 lbs.,33,18,1,1986-05-06,United States,Middleweight,39,02/05/2025
Adlan Amagov,170 lbs.,14,2,1,1986-10-30,Russia,Welterweight,38,21/08/2016
Alen Amedovski,185 lbs.,8,4,0,1988-04-06,Macedonia,Middleweight,37,17/09/2022
Hyder Amil,145 lbs.,11,0,0,1990-05-28,United States,Featherweight,34,01/03/2025
Makwan Amirkhani,145 lbs.,17,9,0,1988-11-08,Finland,Featherweight,36,03/05/2025
Karl Amoussou,185 lbs.,27,7,2,1985-11-21,France,Welterweight,39,08/12/2022
Eryk Anders,185 lbs.,17,8,0,1987-04-21,United States,Light Heavyweight,38,07/12/2024
Matt Andersen,230 lbs.,14,8,1,1971-05-29,United States,Heavyweight,53,20/02/2010
Lowell Anderson,160 lbs.,0,1,0,,United States,Welterweight,,24/11/1999
Corey Anderson,205 lbs.,14,5,0,1989-09-22,United States,Light Heavyweight,35,22/03/2024
Derek Anderson,155 lbs.,14,3,0,1990-02-20,United States,Middleweight,35,09/09/2023
Megan Anderson,145 lbs.,11,5,0,1990-02-11,Australia,Featherweight,35,06/03/2021
Alex Andrade,200 lbs.,10,5,0,1974-05-14,United States,Light Heavyweight,50,12/07/2009
Jessica Andrade,125 lbs.,26,13,0,1991-09-25,Brazil,Flyweight,33,07/09/2024
Viscardi Andrade,170 lbs.,19,6,0,1984-03-08,Brazil,Welterweight,41,20/11/2021
Jermaine Andre,200 lbs.,14,4,0,1973-07-16,United States,Middleweight,51,04/10/2006
Dylan Andrews,185 lbs.,18,7,0,1979-11-15,New Zealand,Middleweight,45,26/02/2022
Reese Andy,205 lbs.,7,3,0,1973-03-31,United States,Light Heavyweight,52,27/12/2008
Julius Anglickas,205 lbs.,5,1,0,1991-07-23,Lithuania,Light Heavyweight,33,28/02/2025
Collin Anglin,145 lbs.,8,3,0,1993-02-20,United States,Featherweight,32,01/02/2025
Yoji Anjo,205 lbs.,0,5,1,1969-12-31,Japan,Light Heavyweight,55,16/12/2000
Magomed Ankalaev,205 lbs.,21,1,1,1992-06-02,Russia,Light Heavyweight,32,08/03/2025
Gadzhimurad Antigulov,205 lbs.,20,8,0,1987-01-01,Russia,Light Heavyweight,38,04/09/2021
Adam Antolin,125 lbs.,12,3,0,1982-02-28,United States,Flyweight,43,08/07/2022
Azunna Anyanwu,251 lbs.,14,5,0,1981-08-05,United States,Heavyweight,43,08/11/2019
Shinsho Anzai,170 lbs.,10,3,0,1985-12-01,Japan,Welterweight,39,31/12/2023
Shinya Aoki,154 lbs.,39,7,0,1983-05-09,Japan,Lightweight,42,23/03/2025
Josh Appelt,255 lbs.,15,7,0,1983-06-19,United States,Heavyweight,41,24/07/2018
Romie Aram,170 lbs.,7,1,0,1997-12-02,Afganistan,Welterweight,27,20/02/2004
Felipe Arantes,135 lbs.,18,10,1,1988-02-09,Brazil,Featherweight,37,25/09/2022
Igor Araujo,170 lbs.,25,9,0,1980-12-06,Brazil,Welterweight,44,17/03/2018
Viviane Araujo,125 lbs.,13,6,0,1986-11-21,Brazil,Flyweight,38,16/11/2024
Julio Arce,145 lbs.,19,6,0,1989-10-27,United States,Bantamweight,35,30/03/2024
Art Arciniega,145 lbs.,15,7,0,1981-10-15,United States,Featherweight,43,03/02/2023
Andrei Arlovski,240 lbs.,34,24,0,1979-02-04,Belarus,Heavyweight,46,15/06/2024
Austin Arnett,145 lbs.,16,6,0,1991-10-22,United States,Featherweight,33,31/01/2020
Eli Aronov,185 lbs.,6,1,0,1996-06-06,Israel,Light Heavyweight,28,21/03/2025
Akbarh Arreola,155 lbs.,23,11,1,1983-01-14,Mexico,Lightweight,42,24/06/2022
Matt Arroyo,170 lbs.,3,3,0,1982-09-01,United States,Welterweight,42,31/01/2009
Antonio Arroyo,185 lbs.,9,5,0,1989-07-01,Brazil,Middleweight,35,18/09/2021
Veta Arteaga,125 lbs.,3,1,0,1987-11-07,United States,Flyweight,37,29/07/2023
Cesar Arzamendia,155 lbs.,8,3,0,1991-01-31,Paraguay,Lightweight,34,17/12/2022
Askar Askarov,125 lbs.,14,1,1,1992-10-09,Russia,Flyweight,32,24/11/2023
Cyril Asker,247 lbs.,9,4,0,1985-12-24,France,Heavyweight,39,10/02/2018
Scott Askham,185 lbs.,14,4,0,1988-05-20,England,Middleweight,36,21/09/2024
Ben Askren,170 lbs.,19,2,0,1984-07-18,United States,Welterweight,40,17/04/2021
Tom Aspinall,256 lbs.,15,3,0,1993-04-11,England,Heavyweight,32,27/07/2024
Junior Assuncao,145 lbs.,16,6,0,1981-06-24,Brazil,Lightweight,43,30/11/2018
Raphael Assuncao,135 lbs.,28,10,0,1982-07-19,Brazil,Bantamweight,42,11/03/2023
Rich Attonito,170 lbs.,10,5,0,1977-06-16,United States,Welterweight,47,10/12/2011
Olivier Aubin-Mercier,155 lbs.,11,5,0,1989-02-23,Canada,Lightweight,36,24/11/2023
Pat Audinwood,155 lbs.,11,2,1,1986-04-16,United States,Lightweight,39,24/02/2012
Marcus Aurelio,155 lbs.,22,10,0,1973-08-18,Brazil,Welterweight,51,19/10/2024
Blas Avena,170 lbs.,8,7,0,1983-06-30,United States,Welterweight,41,19/06/2013
Levi Avera,170 lbs.,18,15,0,1982-05-17,United States,Welterweight,42,26/09/2014
Chris Avila,145 lbs.,5,4,0,1993-01-16,United States,Lightweight,32,14/09/2024
Julia Avila,135 lbs.,9,4,0,1988-05-11,United States,Bantamweight,36,15/02/2025
Saad Awad,155 lbs.,20,9,0,1983-06-07,United States,Lightweight,41,29/01/2022
Javy Ayala,265 lbs.,10,5,0,1988-08-22,United States,Heavyweight,36,21/02/2020
Jessin Ayari,155 lbs.,16,6,0,1992-05-31,Germany,Lightweight,32,08/03/2025
Abu Azaitar,185 lbs.,14,4,1,1986-03-10,Morocco,Middleweight,39,21/10/2023
Ottman Azaitar,155 lbs.,13,3,0,1990-02-20,Germany,Lightweight,35,14/12/2024
Luiz Azeredo,154 lbs.,15,10,0,1976-06-10,Brazil,Welterweight,48,02/04/2011
Hunter Azure,145 lbs.,9,2,0,1992-03-02,United States,Bantamweight,33,02/05/2025
Niklas Backstrom,145 lbs.,11,3,0,1989-08-22,Sweden,Featherweight,35,15/01/2022
Seth Baczynski,170 lbs.,20,14,0,1981-10-26,United States,Middleweight,43,13/05/2023
Ryan Bader,205 lbs.,23,5,0,1983-06-07,United States,Light Heavyweight,41,04/02/2023
Izabela Badurek,115 lbs.,6,3,0,1991-07-11,Poland,Flyweight,33,27/03/2021
Miguel Baeza,170 lbs.,10,4,0,1992-08-23,United States,Welterweight,32,08/06/2024
Ali Bagautinov,125 lbs.,15,6,0,1985-06-12,Russia,Flyweight,39,19/12/2021
Mehdi Baghdad,155 lbs.,11,5,0,1985-04-13,France,Welterweight,40,07/03/2025
Melsik Baghdasaryan,145 lbs.,8,3,0,1992-01-28,United States,Lightweight,33,22/02/2025
Siyar Bahadurzada,170 lbs.,24,8,1,1984-04-17,Afghanistan,Welterweight,41,28/09/2019
Ignacio Bahamondes,155 lbs.,17,5,0,1997-08-27,Chile,Lightweight,27,08/03/2025
Shamar Bailey,155 lbs.,16,11,0,1982-09-22,United States,Welterweight,42,04/10/2014
Jordan Bailey,145 lbs.,6,3,0,1988-10-28,United States,Lightweight,36,10/06/2022
Scott Baker,210 lbs.,1,1,0,,United States,Heavyweight,,04/10/1997
Bryan Baker,185 lbs.,18,5,0,1985-10-13,United States,Welterweight,39,18/12/2021
Oluwale Bamgbose,185 lbs.,6,4,0,1987-08-04,United States,Middleweight,37,22/03/2025
Stephen Banaszak,145 lbs.,5,5,0,1990-12-07,United States,Lightweight,34,20/11/2015
Marcin Bandel,155 lbs.,15,7,0,1989-10-10,Poland,Welterweight,35,29/02/2020
Humberto Bandenay,145 lbs.,14,7,0,1994-09-04,Peru,Lightweight,30,09/12/2023
Tae Hyun Bang,155 lbs.,18,10,0,1983-04-15,South Korea,Lightweight,42,03/09/2016
Antonio Banuelos,135 lbs.,20,11,1,1979-09-23,United States,Flyweight,45,07/08/2014
Renan Barao,145 lbs.,34,9,0,1987-01-31,Brazil,Bantamweight,38,07/10/2023
Maycee Barber,125 lbs.,14,2,0,1998-05-18,United States,Flyweight,26,09/03/2024
Bryan Barberena,185 lbs.,18,12,0,1989-05-03,United States,Welterweight,36,16/03/2024
Edson Barboza,145 lbs.,24,12,0,1986-01-21,Brazil,Featherweight,39,18/05/2024
Raoni Barcelos,135 lbs.,19,5,0,1987-05-01,Brazil,Bantamweight,38,18/01/2025
Luke Barnatt,185 lbs.,13,4,0,1988-04-13,England,Middleweight,37,13/12/2020
James Barnes,135 lbs.,14,5,0,1981-12-09,United States,Bantamweight,43,19/10/2021
Nick Barnes,170 lbs.,11,2,0,1990-08-16,United States,Welterweight,34,20/07/2018
Josh Barnett,250 lbs.,35,8,0,1977-11-10,United States,Heavyweight,47,24/02/2024
Chris Barnett,265 lbs.,23,9,0,1986-06-14,United States,Heavyweight,38,26/10/2024
David Baron,155 lbs.,17,4,1,1973-02-15,France,Welterweight,52,15/02/2014
Phil Baroni,170 lbs.,15,18,0,1976-04-16,United States,Welterweight,49,03/12/2021
Carlos Barreto,230 lbs.,14,9,0,1968-07-22,Brazil,Heavyweight,56,21/05/2005
Peter Barrett,145 lbs.,11,5,0,1986-08-10,United States,Featherweight,38,15/11/2024
Marc-Andre Barriault,185 lbs.,16,9,0,1990-02-18,Canada,Middleweight,35,02/11/2024
Alexandre Barros,170 lbs.,22,11,0,1976-09-19,Brazil,Welterweight,48,08/11/2020
Francimar Barroso,205 lbs.,19,7,0,1980-02-29,Brazil,Light Heavyweight,45,11/06/2024
Pat Barry,235 lbs.,8,7,0,1979-07-07,United States,Heavyweight,45,30/12/2022
Enrique Barzola,145 lbs.,17,5,2,1989-04-25,Peru,Featherweight,36,23/08/2024
Stephen Bass,145 lbs.,11,2,0,1982-11-14,United States,Featherweight,42,23/08/2016
Shayna Baszler,135 lbs.,15,11,0,1980-08-08,United States,Lightweight,44,25/02/2017
Michel Batista,260 lbs.,4,1,0,1984-04-20,United States,Heavyweight,41,19/10/2019
Alan Baudot,243 lbs.,8,3,0,1988-02-01,France,Heavyweight,37,25/06/2022
Mario Bautista,135 lbs.,15,2,0,1993-07-01,United States,Bantamweight,31,05/10/2024
Rudy Bears,170 lbs.,16,15,0,1978-11-12,United States,Welterweight,46,04/11/2016
Salvador Becerra,155 lbs.,5,2,0,1995-10-31,United States,Lightweight,29,15/03/2025
Ariel Beck,125 lbs.,4,5,0,1990-09-16,United States,Flyweight,34,28/10/2023
Eric Bedard,239 lbs.,6,7,0,1984-09-11,United States,Heavyweight,40,03/08/2018
Johnny Bedford,135 lbs.,21,13,1,1983-01-06,United States,Bantamweight,42,20/08/2021
Chase Beebe,135 lbs.,24,13,1,1985-03-29,United States,Featherweight,40,13/09/2014
Mirsad Bektic,145 lbs.,13,4,0,1991-02-16,United States,Featherweight,34,19/09/2020
Diana Belbita,125 lbs.,15,10,0,1996-06-26,Romania,Strawweight,28,05/04/2025
Alan Belcher,185 lbs.,18,8,0,1984-04-24,United States,Middleweight,41,02/03/2024
Vitor Belfort,185 lbs.,26,14,0,1977-04-01,Brazil,Middleweight,48,01/04/2023
Danilo Belluardo,155 lbs.,12,5,0,1994-07-21,Italy,Lightweight,30,06/02/2021
Joey Beltran,185 lbs.,17,14,0,1981-12-09,United States,Light Heavyweight,43,18/11/2022
Marco Beltran,125 lbs.,8,6,0,1986-05-18,Mexico,Flyweight,38,30/11/2024
Joseph Benavidez,125 lbs.,28,8,0,1984-07-31,United States,Flyweight,40,06/03/2021
Dave Beneteau,250 lbs.,6,5,1,1968-07-16,Canada,Heavyweight,56,23/06/2001
Karla Benitez,113 lbs.,14,11,1,1979-02-15,Venezuela,Flyweight,46,04/08/2023
Gabriel Benitez,155 lbs.,23,13,0,1988-06-15,Mexico,Featherweight,36,27/04/2024
Deanna Bennett,125 lbs.,8,3,1,1984-11-18,United States,Flyweight,40,07/04/2023
Lance Benoist,170 lbs.,7,2,0,1988-08-26,United States,Welterweight,36,07/06/2014
Ryan Benoit,125 lbs.,10,8,0,1989-08-25,United States,Flyweight,35,27/08/2022
Steve Berger,170 lbs.,21,23,2,1973-05-20,United States,Welterweight,51,11/10/2013
Keith Berish,205 lbs.,5,1,0,1985-11-14,United States,Middleweight,39,09/12/2016
Dennis Bermudez,155 lbs.,17,9,0,1986-12-13,United States,Featherweight,38,21/06/2019
Manny Bermudez,145 lbs.,14,2,0,1994-07-19,United States,Featherweight,30,08/02/2020
Talita Bernardo,135 lbs.,6,4,0,1987-03-04,Brazil,Bantamweight,38,13/12/2024
Dave Berry,216 lbs.,0,1,0,,United States,Heavyweight,,20/09/1996
Keith Berry,185 lbs.,15,14,1,1987-10-25,United States,Middleweight,37,14/12/2019
Edson Berto,155 lbs.,17,12,1,1983-07-05,United States,Featherweight,41,08/11/2013
Allen Berube,155 lbs.,4,3,0,1974-08-25,United States,Lightweight,50,23/06/2007
Scott Bessac,245 lbs.,4,6,0,1965-10-05,United States,Heavyweight,59,16/12/1995
Matt Bessette,145 lbs.,22,9,0,1984-12-28,United States,Featherweight,40,17/09/2021
David Bielkheden,155 lbs.,24,12,0,1979-06-06,Sweden,Welterweight,45,11/05/2019
Anthony Birchak,135 lbs.,16,8,0,1986-05-16,United States,Bantamweight,38,23/10/2021
Michael Bisping,185 lbs.,30,9,0,1979-02-28,England,Middleweight,46,25/11/2017
Amaury Bitetti,185 lbs.,5,2,0,1969-04-14,Brazil,Middleweight,56,15/12/2001
Simon Biyong,205 lbs.,7,1,0,1991-04-05,Italy,Light Heavyweight,34,22/03/2025
Jan Blachowicz,205 lbs.,29,11,1,1983-02-24,Poland,Light Heavyweight,42,22/03/2025
Jason Black,155 lbs.,23,4,1,1972-08-15,United States,Welterweight,52,20/10/2007
Brad Blackburn,170 lbs.,18,13,1,1977-05-25,United States,Welterweight,47,19/02/2011
Tom Blackledge,205 lbs.,10,7,0,,England,Light Heavyweight,,26/02/2011
Da'Mon Blackshear,135 lbs.,17,7,1,1994-08-12,United States,Featherweight,30,26/04/2025
Maximo Blanco,145 lbs.,12,8,1,1983-10-16,Venezuela,Featherweight,41,17/09/2016
David Blanco,145 lbs.,2,0,0,1986-11-15,United States,Featherweight,38,19/09/2015
Curtis Blaydes,265 lbs.,18,5,0,1991-02-18,United States,Heavyweight,34,27/07/2024
Arlene Blencowe,145 lbs.,9,6,0,1983-04-11,Australia,Bantamweight,42,22/06/2024
Byron Bloodworth,135 lbs.,6,3,0,1983-08-16,United States,Bantamweight,41,29/12/2012
Dan Bobish,345 lbs.,17,9,0,1970-01-26,United States,Super Heavyweight,55,19/10/2007
Mark Bocek,155 lbs.,12,5,0,1981-10-24,Canada,Lightweight,43,16/04/2014
Kyle Bochniak,145 lbs.,8,5,0,1987-02-05,United States,Featherweight,38,24/06/2022
James Bochnovic,205 lbs.,8,3,0,1989-02-13,United States,Middleweight,36,02/11/2019
Tim Boetsch,185 lbs.,21,13,0,1981-01-28,United States,Middleweight,44,09/03/2019
Galore Bofando,170 lbs.,5,3,0,,England,Welterweight,,22/06/2019
Jay Bogan,145 lbs.,6,6,0,1983-09-13,United States,Featherweight,41,22/10/2016
Roman Bogatov,155 lbs.,10,1,0,1990-12-15,Russia,Lightweight,34,11/12/2021
Derek Bohi,260 lbs.,8,5,0,1979-12-09,United States,Heavyweight,45,23/12/2016
Jerry Bohlander,199 lbs.,11,4,0,1974-11-02,United States,Light Heavyweight,50,20/03/2004
Mandy Bohm,125 lbs.,8,2,0,1989-06-30,Germany,Flyweight,35,15/11/2024
Kotetsu Boku,154 lbs.,25,11,2,1977-05-27,Japan,Featherweight,47,21/11/2020
Gaston Bolanos,135 lbs.,8,5,0,1992-09-14,United States,Featherweight,32,03/05/2025
Kyle Bolt,185 lbs.,8,4,0,,United States,Middleweight,,15/11/2014
Luc Bondole,205 lbs.,5,2,2,1982-07-02,United States,Middleweight,42,20/07/2018
Tony Bonello,185 lbs.,16,3,1,1972-10-20,Australia,Heavyweight,52,05/04/2014
Jesse Bongfeldt,185 lbs.,16,5,1,1980-08-28,Canada,Middleweight,44,12/04/2019
Marcos Bonilla,145 lbs.,4,4,0,1985-07-17,United States,Lightweight,39,23/09/2017
Stephan Bonnar,205 lbs.,15,9,0,1977-04-04,United States,Light Heavyweight,48,15/11/2014
Rogerio Bontorin,125 lbs.,16,4,0,1992-04-25,Brazil,Bantamweight,33,25/10/2024
Ray Borg,135 lbs.,13,5,0,1980-01-22,United States,Bantamweight,45,11/03/2022
Tanner Boser,205 lbs.,21,10,1,1991-08-02,Canada,Heavyweight,33,05/08/2023
Steve Bosse,205 lbs.,12,2,0,1981-07-29,Canada,Light Heavyweight,43,20/07/2018
Marcus Bossett,215 lbs.,1,3,0,,United States,Heavyweight,,07/12/1996
Poliana Botelho,125 lbs.,8,5,0,1988-12-15,Brazil,Flyweight,36,28/09/2022
Roy Boughton,205 lbs.,14,8,0,1992-05-26,United States,Heavyweight,32,17/06/2016
Tai Bowden,230 lbs.,1,1,0,,United States,Heavyweight,,07/12/1996
Melton Bowen,225 lbs.,0,1,0,1969-03-10,United States,Heavyweight,56,16/12/1994
Brian Bowles,135 lbs.,10,3,0,1980-06-22,United States,Bantamweight,44,25/05/2013
Roger Bowling,155 lbs.,12,6,0,1982-12-05,United States,Lightweight,42,28/10/2016
Kyle Bradley,155 lbs.,19,12,0,1982-08-19,United States,Welterweight,42,09/01/2016
Paul Bradley,170 lbs.,23,8,0,1983-06-13,United States,Welterweight,41,30/08/2018
Sean Brady,170 lbs.,18,1,0,1992-11-23,United States,Welterweight,32,22/03/2025
Ebenezer Fontes Braga,199 lbs.,13,7,2,1969-04-14,Brazil,Light Heavyweight,56,15/05/2004
Ramiz Brahimaj,170 lbs.,11,5,0,1992-11-17,United States,Welterweight,32,16/11/2024
Joe Brammer,155 lbs.,7,3,1,1983-08-30,United States,Lightweight,41,12/11/2010
David Branch,185 lbs.,22,6,0,1981-09-26,United States,Middleweight,43,14/12/2019
Diego Brandao,145 lbs.,22,11,0,1987-05-27,Brazil,Featherweight,37,14/03/2025
Martin Bravo,145 lbs.,11,3,0,1993-09-21,Mexico,Featherweight,31,18/06/2023
Mike Breeden,155 lbs.,11,6,0,1989-04-21,United States,Lightweight,36,22/03/2025
Tom Breese,185 lbs.,12,3,0,1991-09-26,England,Middleweight,33,13/04/2025
Chris Brennan,170 lbs.,21,13,1,1971-10-12,United States,Lightweight,53,30/06/2012
Charlie Brenneman,155 lbs.,19,8,0,1981-02-09,United States,Lightweight,44,08/11/2014
Jason Brilz,205 lbs.,22,6,1,1975-07-07,United States,Light Heavyweight,49,24/04/2015
Marcus Brimage,135 lbs.,7,7,0,1985-04-06,United States,Bantamweight,40,27/01/2023
Aaron Brink,205 lbs.,26,26,0,1974-11-12,United States,Heavyweight,50,09/06/2019
Mike Bronzoulis,155 lbs.,18,9,1,1979-01-05,United States,Middleweight,46,08/12/2018
Jonathan Brookins,145 lbs.,16,10,0,1985-08-13,United States,Featherweight,39,11/04/2025
Will Brooks,155 lbs.,18,4,0,1986-10-08,United States,Lightweight,38,08/04/2017
Jarred Brooks,125 lbs.,13,2,0,1993-05-02,United States,Flyweight,32,20/02/2025
Rob Broughton,265 lbs.,16,7,1,1983-03-03,England,Heavyweight,42,12/06/2015
Matt Brown,170 lbs.,26,19,0,1981-01-10,United States,Welterweight,44,13/05/2023
Todd Brown,205 lbs.,16,4,0,1976-12-13,United States,Middleweight,48,13/04/2013
Frederick Brown,235 lbs.,3,2,0,1976-11-20,United States,Heavyweight,48,02/11/2019
Randy Brown,170 lbs.,20,6,0,1990-07-08,Jamaica,Welterweight,34,16/12/2023
Damien Brown,155 lbs.,17,12,0,1984-12-25,Australia,Lightweight,40,12/10/2019
Travis Browne,255 lbs.,18,7,1,1982-07-17,United States,Heavyweight,42,08/07/2017
Jules Bruchez,205 lbs.,1,2,0,1977-08-16,United States,Middleweight,47,18/06/2022
Steve Bruno,170 lbs.,15,6,0,1981-11-03,United States,Middleweight,43,02/11/2012
Fernando Bruno,145 lbs.,15,4,0,1982-02-24,Brazil,Featherweight,43,29/06/2024
Derek Brunson,185 lbs.,23,9,0,1984-01-04,United States,Middleweight,41,17/11/2024
Josh Bryant,185 lbs.,15,4,0,1980-04-23,United States,Middleweight,45,16/05/2014
Justin Buchholz,155 lbs.,15,10,0,1983-08-22,United States,Welterweight,41,16/05/2018
Zak Bucia,170 lbs.,17,8,0,1984-09-27,United States,Welterweight,40,06/05/2023
Joaquin Buckley,170 lbs.,21,6,0,1994-04-27,United States,Middleweight,31,14/12/2024
Julia Budd,145 lbs.,10,2,0,1983-07-04,Canada,Featherweight,41,16/06/2023
Mayra Bueno Silva,125 lbs.,10,5,1,1991-08-22,Brazil,Flyweight,33,01/02/2025
Paul Buentello,245 lbs.,35,17,0,1974-01-16,United States,Light Heavyweight,51,07/10/2006
Modestas Bukauskas,205 lbs.,17,6,0,1994-02-10,Lithuania,Light Heavyweight,31,22/02/2025
Shawn Bunch,135 lbs.,7,3,0,1983-03-19,United States,Bantamweight,42,20/05/2022
Shane Burgos,145 lbs.,15,3,0,1991-03-19,United States,Featherweight,34,23/08/2023
Joshua Burkman,170 lbs.,28,16,0,1980-10-04,United States,Lightweight,44,21/06/2019
Justin Burlinson,170 lbs.,6,1,0,1997-05-19,England,Welterweight,27,26/04/2025
Mads Burnell,145 lbs.,9,3,0,1994-03-06,Denmark,Featherweight,31,18/04/2025
Mikey Burnett,170 lbs.,5,2,0,1974-04-12,United States,Welterweight,51,09/06/2006
Kevin Burns,170 lbs.,12,7,0,1980-03-03,United States,Welterweight,45,15/12/2012
